trip_type,pickup_location,dropoff_location,transport_type,adults,children,pickup_time,return_time,price
one side,BEAUVAIS,Disneyland,car,2,0,6 AM - 10 PM,6 AM - 10 PM,155.0
one side,BEAUVAIS,Disneyland,car,2,1,10 PM - 6 AM,10 PM - 6 AM,195.0
one side,BEAUVAIS,Disneyland,car,2,1,10 PM - 6 AM,6 AM - 10 PM,195.0
one side,BEAUVAIS,Disneyland,car,2,1,6 AM - 10 PM,10 PM - 6 AM,180.0
one side,BEAUVAIS,Disneyland,car,2,1,6 AM - 10 PM,6 AM - 10 PM,180.0
one side,BEAUVAIS,Disneyland,car,2,2,10 PM - 6 AM,10 PM - 6 AM,195.0
one side,BEAUVAIS,Disneyland,car,2,2,10 PM - 6 AM,6 AM - 10 PM,195.0
one side,BEAUVAIS,Disneyland,car,2,2,6 AM - 10 PM,10 PM - 6 AM,180.0
one side,BEAUVAIS,Disneyland,car,2,2,6 AM - 10 PM,6 AM - 10 PM,180.0
one side,BEAUVAIS,Disneyland,car,3,0,10 PM - 6 AM,10 PM - 6 AM,195.0
one side,BEAUVAIS,Disneyland,car,3,0,10 PM - 6 AM,6 AM - 10 PM,195.0
one side,BEAUVAIS,Disneyland,car,3,0,6 AM - 10 PM,10 PM - 6 AM,180.0
one side,BEAUVAIS,Disneyland,car,3,0,6 AM - 10 PM,6 AM - 10 PM,180.0
one side,BEAUVAIS,Disneyland,car,3,1,10 PM - 6 AM,10 PM - 6 AM,195.0
one side,BEAUVAIS,Disneyland,car,3,1,10 PM - 6 AM,6 AM - 10 PM,195.0
one side,BEAUVAIS,Disneyland,car,3,1,6 AM - 10 PM,10 PM - 6 AM,180.0
one side,BEAUVAIS,Disneyland,car,3,1,6 AM - 10 PM,6 AM - 10 PM,180.0
one side,BEAUVAIS,Disneyland,car,4,0,10 PM - 6 AM,10 PM - 6 AM,195.0
one side,BEAUVAIS,Disneyland,car,4,0,10 PM - 6 AM,6 AM - 10 PM,195.0
one side,BEAUVAIS,Disneyland,car,4,0,6 AM - 10 PM,10 PM - 6 AM,180.0
one side,BEAUVAIS,Disneyland,car,4,0,6 AM - 10 PM,6 AM - 10 PM,180.0
round trip,BEAUVAIS,Disneyland,car,0,1,10 PM - 6 AM,10 PM - 6 AM,170.0
round trip,BEAUVAIS,Disneyland,car,0,1,10 PM - 6 AM,6 AM - 10 PM,170.0
round trip,BEAUVAIS,Disneyland,car,0,1,6 AM - 10 PM,10 PM - 6 AM,155.0
round trip,BEAUVAIS,Disneyland,car,0,1,6 AM - 10 PM,6 AM - 10 PM,155.0
round trip,BEAUVAIS,Disneyland,car,0,2,10 PM - 6 AM,10 PM - 6 AM,170.0
round trip,BEAUVAIS,Disneyland,car,0,2,10 PM - 6 AM,6 AM - 10 PM,170.0
round trip,BEAUVAIS,Disneyland,car,0,2,6 AM - 10 PM,10 PM - 6 AM,155.0
round trip,BEAUVAIS,Disneyland,car,0,2,6 AM - 10 PM,6 AM - 10 PM,155.0
round trip,BEAUVAIS,Disneyland,car,0,3,10 PM - 6 AM,10 PM - 6 AM,195.0
round trip,BEAUVAIS,Disneyland,car,0,3,10 PM - 6 AM,6 AM - 10 PM,195.0
round trip,BEAUVAIS,Disneyland,car,0,3,6 AM - 10 PM,10 PM - 6 AM,180.0
round trip,BEAUVAIS,Disneyland,car,0,3,6 AM - 10 PM,6 AM - 10 PM,180.0
round trip,BEAUVAIS,Disneyland,car,0,4,10 PM - 6 AM,10 PM - 6 AM,195.0
round trip,BEAUVAIS,Disneyland,car,0,4,10 PM - 6 AM,6 AM - 10 PM,195.0
round trip,BEAUVAIS,Disneyland,car,0,4,6 AM - 10 PM,10 PM - 6 AM,180.0
round trip,BEAUVAIS,Disneyland,car,0,4,6 AM - 10 PM,6 AM - 10 PM,180.0
round trip,BEAUVAIS,Disneyland,car,1,0,10 PM - 6 AM,10 PM - 6 AM,170.0
round trip,BEAUVAIS,Disneyland,car,1,0,10 PM - 6 AM,6 AM - 10 PM,170.0
round trip,BEAUVAIS,Disneyland,car,1,0,6 AM - 10 PM,10 PM - 6 AM,155.0
round trip,BEAUVAIS,Disneyland,car,1,0,6 AM - 10 PM,6 AM - 10 PM,155.0
round trip,BEAUVAIS,Disneyland,car,1,1,10 PM - 6 AM,10 PM - 6 AM,170.0
round trip,BEAUVAIS,Disneyland,car,1,1,10 PM - 6 AM,6 AM - 10 PM,170.0
round trip,BEAUVAIS,Disneyland,car,1,1,6 AM - 10 PM,10 PM - 6 AM,155.0
round trip,BEAUVAIS,Disneyland,car,1,1,6 AM - 10 PM,6 AM - 10 PM,155.0
round trip,BEAUVAIS,Disneyland,car,1,2,10 PM - 6 AM,10 PM - 6 AM,195.0
round trip,BEAUVAIS,Disneyland,car,1,2,10 PM - 6 AM,6 AM - 10 PM,195.0
round trip,BEAUVAIS,Disneyland,car,1,2,6 AM - 10 PM,10 PM - 6 AM,180.0
round trip,BEAUVAIS,Disneyland,car,1,2,6 AM - 10 PM,6 AM - 10 PM,180.0
round trip,BEAUVAIS,Disneyland,car,1,3,10 PM - 6 AM,10 PM - 6 AM,195.0
round trip,BEAUVAIS,Disneyland,car,1,3,10 PM - 6 AM,6 AM - 10 PM,195.0
round trip,BEAUVAIS,Disneyland,car,1,3,6 AM - 10 PM,10 PM - 6 AM,180.0
round trip,BEAUVAIS,Disneyland,car,1,3,6 AM - 10 PM,6 AM - 10 PM,180.0
round trip,BEAUVAIS,Disneyland,car,2,0,10 PM - 6 AM,10 PM - 6 AM,170.0
round trip,BEAUVAIS,Disneyland,car,2,0,10 PM - 6 AM,6 AM - 10 PM,170.0
round trip,BEAUVAIS,Disneyland,car,2,0,6 AM - 10 PM,10 PM - 6 AM,155.0
round trip,BEAUVAIS,Disneyland,car,2,0,6 AM - 10 PM,6 AM - 10 PM,155.0
round trip,BEAUVAIS,Disneyland,car,2,1,10 PM - 6 AM,10 PM - 6 AM,195.0
round trip,BEAUVAIS,Disneyland,car,2,1,10 PM - 6 AM,6 AM - 10 PM,195.0
round trip,BEAUVAIS,Disneyland,car,2,1,6 AM - 10 PM,10 PM - 6 AM,180.0
round trip,BEAUVAIS,Disneyland,car,2,1,6 AM - 10 PM,6 AM - 10 PM,180.0
round trip,BEAUVAIS,Disneyland,car,2,2,10 PM - 6 AM,10 PM - 6 AM,195.0
round trip,BEAUVAIS,Disneyland,car,2,2,10 PM - 6 AM,6 AM - 10 PM,195.0
round trip,BEAUVAIS,Disneyland,car,2,2,6 AM - 10 PM,10 PM - 6 AM,180.0
round trip,BEAUVAIS,Disneyland,car,2,2,6 AM - 10 PM,6 AM - 10 PM,180.0
round trip,BEAUVAIS,Disneyland,car,3,0,10 PM - 6 AM,10 PM - 6 AM,195.0
round trip,BEAUVAIS,Disneyland,car,3,0,10 PM - 6 AM,6 AM - 10 PM,195.0
round trip,BEAUVAIS,Disneyland,car,3,0,6 AM - 10 PM,10 PM - 6 AM,180.0
round trip,BEAUVAIS,Disneyland,car,3,0,6 AM - 10 PM,6 AM - 10 PM,180.0
round trip,BEAUVAIS,Disneyland,car,3,1,10 PM - 6 AM,10 PM - 6 AM,195.0
round trip,BEAUVAIS,Disneyland,car,3,1,10 PM - 6 AM,6 AM - 10 PM,195.0
round trip,BEAUVAIS,Disneyland,car,3,1,6 AM - 10 PM,10 PM - 6 AM,180.0
round trip,BEAUVAIS,Disneyland,car,3,1,6 AM - 10 PM,6 AM - 10 PM,180.0
round trip,BEAUVAIS,Disneyland,car,4,0,10 PM - 6 AM,10 PM - 6 AM,195.0
round trip,BEAUVAIS,Disneyland,car,4,0,10 PM - 6 AM,6 AM - 10 PM,195.0
round trip,BEAUVAIS,Disneyland,car,4,0,6 AM - 10 PM,10 PM - 6 AM,180.0
round trip,BEAUVAIS,Disneyland,car,4,0,6 AM - 10 PM,6 AM - 10 PM,180.0
one side,BEAUVAIS,Disneyland,van,0,1,10 PM - 6 AM,10 PM - 6 AM,170.0
one side,BEAUVAIS,Disneyland,van,0,1,10 PM - 6 AM,6 AM - 10 PM,170.0
one side,BEAUVAIS,Disneyland,van,0,1,6 AM - 10 PM,10 PM - 6 AM,155.0
one side,BEAUVAIS,Disneyland,van,0,1,6 AM - 10 PM,6 AM - 10 PM,155.0
one side,BEAUVAIS,Disneyland,van,0,2,10 PM - 6 AM,10 PM - 6 AM,170.0
one side,BEAUVAIS,Disneyland,van,0,2,10 PM - 6 AM,6 AM - 10 PM,170.0
one side,BEAUVAIS,Disneyland,van,0,2,6 AM - 10 PM,10 PM - 6 AM,155.0
one side,BEAUVAIS,Disneyland,van,0,2,6 AM - 10 PM,6 AM - 10 PM,155.0
one side,BEAUVAIS,Disneyland,van,0,3,10 PM - 6 AM,10 PM - 6 AM,195.0
one side,BEAUVAIS,Disneyland,van,0,3,10 PM - 6 AM,6 AM - 10 PM,195.0
one side,BEAUVAIS,Disneyland,van,0,3,6 AM - 10 PM,10 PM - 6 AM,180.0
one side,BEAUVAIS,Disneyland,van,0,3,6 AM - 10 PM,6 AM - 10 PM,180.0
one side,BEAUVAIS,Disneyland,van,0,4,10 PM - 6 AM,10 PM - 6 AM,195.0
one side,BEAUVAIS,Disneyland,van,0,4,10 PM - 6 AM,6 AM - 10 PM,195.0
one side,BEAUVAIS,Disneyland,van,0,4,6 AM - 10 PM,10 PM - 6 AM,180.0
one side,BEAUVAIS,Disneyland,van,0,4,6 AM - 10 PM,6 AM - 10 PM,180.0
one side,BEAUVAIS,Disneyland,van,1,0,10 PM - 6 AM,10 PM - 6 AM,170.0
one side,BEAUVAIS,Disneyland,van,1,0,10 PM - 6 AM,6 AM - 10 PM,170.0
one side,BEAUVAIS,Disneyland,van,1,0,6 AM - 10 PM,10 PM - 6 AM,155.0
one side,BEAUVAIS,Disneyland,van,1,0,6 AM - 10 PM,6 AM - 10 PM,155.0
one side,BEAUVAIS,Disneyland,van,1,1,10 PM - 6 AM,10 PM - 6 AM,170.0
one side,BEAUVAIS,Disneyland,van,1,1,10 PM - 6 AM,6 AM - 10 PM,170.0
one side,BEAUVAIS,Disneyland,van,1,1,6 AM - 10 PM,10 PM - 6 AM,155.0
one side,BEAUVAIS,Disneyland,van,1,1,6 AM - 10 PM,6 AM - 10 PM,155.0
one side,BEAUVAIS,Disneyland,van,1,2,10 PM - 6 AM,10 PM - 6 AM,195.0
one side,BEAUVAIS,Disneyland,van,1,2,10 PM - 6 AM,6 AM - 10 PM,195.0
one side,BEAUVAIS,Disneyland,van,1,2,6 AM - 10 PM,10 PM - 6 AM,180.0
one side,BEAUVAIS,Disneyland,van,1,2,6 AM - 10 PM,6 AM - 10 PM,180.0
one side,BEAUVAIS,Disneyland,van,1,3,10 PM - 6 AM,10 PM - 6 AM,195.0
one side,BEAUVAIS,Disneyland,van,1,3,10 PM - 6 AM,6 AM - 10 PM,195.0
one side,BEAUVAIS,Disneyland,van,1,3,6 AM - 10 PM,10 PM - 6 AM,180.0
one side,BEAUVAIS,Disneyland,van,1,3,6 AM - 10 PM,6 AM - 10 PM,180.0
one side,BEAUVAIS,Disneyland,van,2,0,10 PM - 6 AM,10 PM - 6 AM,170.0
one side,BEAUVAIS,Disneyland,van,2,0,10 PM - 6 AM,6 AM - 10 PM,170.0
one side,BEAUVAIS,Disneyland,van,2,0,6 AM - 10 PM,10 PM - 6 AM,155.0
one side,BEAUVAIS,Disneyland,van,2,0,6 AM - 10 PM,6 AM - 10 PM,155.0
one side,BEAUVAIS,Disneyland,van,2,1,10 PM - 6 AM,10 PM - 6 AM,195.0
one side,BEAUVAIS,Disneyland,van,2,1,10 PM - 6 AM,6 AM - 10 PM,195.0
one side,BEAUVAIS,Disneyland,van,2,1,6 AM - 10 PM,10 PM - 6 AM,180.0
one side,BEAUVAIS,Disneyland,van,2,1,6 AM - 10 PM,6 AM - 10 PM,180.0
one side,BEAUVAIS,Disneyland,van,2,2,10 PM - 6 AM,10 PM - 6 AM,195.0
one side,BEAUVAIS,Disneyland,van,2,2,10 PM - 6 AM,6 AM - 10 PM,195.0
one side,BEAUVAIS,Disneyland,van,2,2,6 AM - 10 PM,10 PM - 6 AM,180.0
one side,BEAUVAIS,Disneyland,van,2,2,6 AM - 10 PM,6 AM - 10 PM,180.0
one side,BEAUVAIS,Disneyland,van,3,0,10 PM - 6 AM,10 PM - 6 AM,195.0
one side,BEAUVAIS,Disneyland,van,3,0,10 PM - 6 AM,6 AM - 10 PM,195.0
one side,BEAUVAIS,Disneyland,van,3,0,6 AM - 10 PM,10 PM - 6 AM,180.0
one side,BEAUVAIS,Disneyland,van,3,0,6 AM - 10 PM,6 AM - 10 PM,180.0
one side,BEAUVAIS,Disneyland,van,3,1,10 PM - 6 AM,10 PM - 6 AM,195.0
one side,BEAUVAIS,Disneyland,van,3,1,10 PM - 6 AM,6 AM - 10 PM,195.0
one side,BEAUVAIS,Disneyland,van,3,1,6 AM - 10 PM,10 PM - 6 AM,180.0
one side,BEAUVAIS,Disneyland,van,3,1,6 AM - 10 PM,6 AM - 10 PM,180.0
one side,BEAUVAIS,Disneyland,van,4,0,10 PM - 6 AM,10 PM - 6 AM,195.0
one side,BEAUVAIS,Disneyland,van,4,0,10 PM - 6 AM,6 AM - 10 PM,195.0
one side,BEAUVAIS,Disneyland,van,4,0,6 AM - 10 PM,10 PM - 6 AM,180.0
one side,BEAUVAIS,Disneyland,van,4,0,6 AM - 10 PM,6 AM - 10 PM,180.0
round trip,BEAUVAIS,Disneyland,van,0,1,10 PM - 6 AM,10 PM - 6 AM,170.0
round trip,BEAUVAIS,Disneyland,van,0,1,10 PM - 6 AM,6 AM - 10 PM,170.0
round trip,BEAUVAIS,Disneyland,van,0,1,6 AM - 10 PM,10 PM - 6 AM,155.0
round trip,BEAUVAIS,Disneyland,van,0,1,6 AM - 10 PM,6 AM - 10 PM,155.0
round trip,BEAUVAIS,Disneyland,van,0,2,10 PM - 6 AM,10 PM - 6 AM,170.0
round trip,BEAUVAIS,Disneyland,van,0,2,10 PM - 6 AM,6 AM - 10 PM,170.0
round trip,BEAUVAIS,Disneyland,van,0,2,6 AM - 10 PM,10 PM - 6 AM,155.0
round trip,BEAUVAIS,Disneyland,van,0,2,6 AM - 10 PM,6 AM - 10 PM,155.0
round trip,BEAUVAIS,Disneyland,van,0,3,10 PM - 6 AM,10 PM - 6 AM,195.0
round trip,BEAUVAIS,Disneyland,van,0,3,10 PM - 6 AM,6 AM - 10 PM,195.0
round trip,BEAUVAIS,Disneyland,van,0,3,6 AM - 10 PM,10 PM - 6 AM,180.0
round trip,BEAUVAIS,Disneyland,van,0,3,6 AM - 10 PM,6 AM - 10 PM,180.0
round trip,BEAUVAIS,Disneyland,van,0,4,10 PM - 6 AM,10 PM - 6 AM,195.0
round trip,BEAUVAIS,Disneyland,van,0,4,10 PM - 6 AM,6 AM - 10 PM,195.0
round trip,BEAUVAIS,Disneyland,van,0,4,6 AM - 10 PM,10 PM - 6 AM,180.0
round trip,BEAUVAIS,Disneyland,van,0,4,6 AM - 10 PM,6 AM - 10 PM,180.0
round trip,BEAUVAIS,Disneyland,van,1,0,10 PM - 6 AM,10 PM - 6 AM,170.0
round trip,BEAUVAIS,Disneyland,van,1,0,10 PM - 6 AM,6 AM - 10 PM,170.0
round trip,BEAUVAIS,Disneyland,van,1,0,6 AM - 10 PM,10 PM - 6 AM,155.0
round trip,BEAUVAIS,Disneyland,van,1,0,6 AM - 10 PM,6 AM - 10 PM,155.0
round trip,BEAUVAIS,Disneyland,van,1,1,10 PM - 6 AM,10 PM - 6 AM,170.0
round trip,BEAUVAIS,Disneyland,van,1,1,10 PM - 6 AM,6 AM - 10 PM,170.0
round trip,BEAUVAIS,Disneyland,van,1,1,6 AM - 10 PM,10 PM - 6 AM,155.0
round trip,BEAUVAIS,Disneyland,van,1,1,6 AM - 10 PM,6 AM - 10 PM,155.0
round trip,BEAUVAIS,Disneyland,van,1,2,10 PM - 6 AM,10 PM - 6 AM,195.0
round trip,BEAUVAIS,Disneyland,van,1,2,10 PM - 6 AM,6 AM - 10 PM,195.0
round trip,BEAUVAIS,Disneyland,van,1,2,6 AM - 10 PM,10 PM - 6 AM,180.0
round trip,BEAUVAIS,Disneyland,van,1,2,6 AM - 10 PM,6 AM - 10 PM,180.0
round trip,BEAUVAIS,Disneyland,van,1,3,10 PM - 6 AM,10 PM - 6 AM,195.0
round trip,BEAUVAIS,Disneyland,van,1,3,10 PM - 6 AM,6 AM - 10 PM,195.0
round trip,BEAUVAIS,Disneyland,van,1,3,6 AM - 10 PM,10 PM - 6 AM,180.0
round trip,BEAUVAIS,Disneyland,van,1,3,6 AM - 10 PM,6 AM - 10 PM,180.0
round trip,BEAUVAIS,Disneyland,van,2,0,10 PM - 6 AM,10 PM - 6 AM,170.0
round trip,BEAUVAIS,Disneyland,van,2,0,10 PM - 6 AM,6 AM - 10 PM,170.0
round trip,BEAUVAIS,Disneyland,van,2,0,6 AM - 10 PM,10 PM - 6 AM,155.0
round trip,BEAUVAIS,Disneyland,van,2,0,6 AM - 10 PM,6 AM - 10 PM,155.0
round trip,BEAUVAIS,Disneyland,van,2,1,10 PM - 6 AM,10 PM - 6 AM,195.0
round trip,BEAUVAIS,Disneyland,van,2,1,10 PM - 6 AM,6 AM - 10 PM,195.0
round trip,BEAUVAIS,Disneyland,van,2,1,6 AM - 10 PM,10 PM - 6 AM,180.0
round trip,BEAUVAIS,Disneyland,van,2,1,6 AM - 10 PM,6 AM - 10 PM,180.0
round trip,BEAUVAIS,Disneyland,van,2,2,10 PM - 6 AM,10 PM - 6 AM,195.0
round trip,BEAUVAIS,Disneyland,van,2,2,10 PM - 6 AM,6 AM - 10 PM,195.0
round trip,BEAUVAIS,Disneyland,van,2,2,6 AM - 10 PM,10 PM - 6 AM,180.0
round trip,BEAUVAIS,Disneyland,van,2,2,6 AM - 10 PM,6 AM - 10 PM,180.0
round trip,BEAUVAIS,Disneyland,van,3,0,10 PM - 6 AM,10 PM - 6 AM,195.0
round trip,BEAUVAIS,Disneyland,van,3,0,10 PM - 6 AM,6 AM - 10 PM,195.0
round trip,BEAUVAIS,Disneyland,van,3,0,6 AM - 10 PM,10 PM - 6 AM,180.0
round trip,BEAUVAIS,Disneyland,van,3,0,6 AM - 10 PM,6 AM - 10 PM,180.0
round trip,BEAUVAIS,Disneyland,van,3,1,10 PM - 6 AM,10 PM - 6 AM,195.0
round trip,BEAUVAIS,Disneyland,van,3,1,10 PM - 6 AM,6 AM - 10 PM,195.0
round trip,BEAUVAIS,Disneyland,van,3,1,6 AM - 10 PM,10 PM - 6 AM,180.0
round trip,BEAUVAIS,Disneyland,van,3,1,6 AM - 10 PM,6 AM - 10 PM,180.0
round trip,BEAUVAIS,Disneyland,van,4,0,10 PM - 6 AM,10 PM - 6 AM,195.0
round trip,BEAUVAIS,Disneyland,van,4,0,10 PM - 6 AM,6 AM - 10 PM,195.0
round trip,BEAUVAIS,Disneyland,van,4,0,6 AM - 10 PM,10 PM - 6 AM,180.0
round trip,BEAUVAIS,Disneyland,van,4,0,6 AM - 10 PM,6 AM - 10 PM,180.0
one side,BEAUVAIS,BEAUVAIS,car,0,1,10 PM - 6 AM,10 PM - 6 AM,0.0
one side,BEAUVAIS,BEAUVAIS,car,0,1,10 PM - 6 AM,6 AM - 10 PM,0.0
one side,BEAUVAIS,BEAUVAIS,car,0,1,6 AM - 10 PM,10 PM - 6 AM,0.0
one side,BEAUVAIS,BEAUVAIS,car,0,1,6 AM - 10 PM,6 AM - 10 PM,0.0
one side,BEAUVAIS,BEAUVAIS,car,0,2,10 PM - 6 AM,10 PM - 6 AM,0.0
one side,BEAUVAIS,BEAUVAIS,car,0,2,10 PM - 6 AM,6 AM - 10 PM,0.0
one side,BEAUVAIS,BEAUVAIS,car,0,2,6 AM - 10 PM,10 PM - 6 AM,0.0
one side,BEAUVAIS,BEAUVAIS,car,0,2,6 AM - 10 PM,6 AM - 10 PM,0.0
one side,BEAUVAIS,BEAUVAIS,car,0,3,10 PM - 6 AM,10 PM - 6 AM,0.0
one side,BEAUVAIS,BEAUVAIS,car,0,3,10 PM - 6 AM,6 AM - 10 PM,0.0
one side,BEAUVAIS,BEAUVAIS,car,0,3,6 AM - 10 PM,10 PM - 6 AM,0.0
one side,BEAUVAIS,BEAUVAIS,car,0,3,6 AM - 10 PM,6 AM - 10 PM,0.0
one side,BEAUVAIS,BEAUVAIS,car,0,4,10 PM - 6 AM,10 PM - 6 AM,0.0
one side,BEAUVAIS,BEAUVAIS,car,0,4,10 PM - 6 AM,6 AM - 10 PM,0.0
one side,BEAUVAIS,BEAUVAIS,car,0,4,6 AM - 10 PM,10 PM - 6 AM,0.0
one side,BEAUVAIS,BEAUVAIS,car,0,4,6 AM - 10 PM,6 AM - 10 PM,0.0
one side,BEAUVAIS,BEAUVAIS,car,1,0,10 PM - 6 AM,10 PM - 6 AM,0.0
one side,BEAUVAIS,BEAUVAIS,car,1,0,10 PM - 6 AM,6 AM - 10 PM,0.0
one side,BEAUVAIS,BEAUVAIS,car,1,0,6 AM - 10 PM,10 PM - 6 AM,0.0
one side,BEAUVAIS,BEAUVAIS,car,1,0,6 AM - 10 PM,6 AM - 10 PM,0.0
one side,BEAUVAIS,BEAUVAIS,car,1,1,10 PM - 6 AM,10 PM - 6 AM,0.0
one side,BEAUVAIS,BEAUVAIS,car,1,1,10 PM - 6 AM,6 AM - 10 PM,0.0
one side,BEAUVAIS,BEAUVAIS,car,1,1,6 AM - 10 PM,10 PM - 6 AM,0.0
one side,BEAUVAIS,BEAUVAIS,car,1,1,6 AM - 10 PM,6 AM - 10 PM,0.0
one side,BEAUVAIS,BEAUVAIS,car,1,2,10 PM - 6 AM,10 PM - 6 AM,0.0
one side,BEAUVAIS,BEAUVAIS,car,1,2,10 PM - 6 AM,6 AM - 10 PM,0.0
one side,BEAUVAIS,BEAUVAIS,car,1,2,6 AM - 10 PM,10 PM - 6 AM,0.0
one side,BEAUVAIS,BEAUVAIS,car,1,2,6 AM - 10 PM,6 AM - 10 PM,0.0
one side,BEAUVAIS,BEAUVAIS,car,1,3,10 PM - 6 AM,10 PM - 6 AM,0.0
one side,BEAUVAIS,BEAUVAIS,car,1,3,10 PM - 6 AM,6 AM - 10 PM,0.0
one side,BEAUVAIS,BEAUVAIS,car,1,3,6 AM - 10 PM,10 PM - 6 AM,0.0
one side,BEAUVAIS,BEAUVAIS,car,1,3,6 AM - 10 PM,6 AM - 10 PM,0.0
one side,BEAUVAIS,BEAUVAIS,car,2,0,10 PM - 6 AM,10 PM - 6 AM,0.0
one side,BEAUVAIS,BEAUVAIS,car,2,0,10 PM - 6 AM,6 AM - 10 PM,0.0
one side,BEAUVAIS,BEAUVAIS,car,2,0,6 AM - 10 PM,10 PM - 6 AM,0.0
one side,BEAUVAIS,BEAUVAIS,car,2,0,6 AM - 10 PM,6 AM - 10 PM,0.0
one side,BEAUVAIS,BEAUVAIS,car,2,1,10 PM - 6 AM,10 PM - 6 AM,0.0
one side,BEAUVAIS,BEAUVAIS,car,2,1,10 PM - 6 AM,6 AM - 10 PM,0.0
one side,BEAUVAIS,BEAUVAIS,car,2,1,6 AM - 10 PM,10 PM - 6 AM,0.0
one side,BEAUVAIS,BEAUVAIS,car,2,1,6 AM - 10 PM,6 AM - 10 PM,0.0
one side,BEAUVAIS,BEAUVAIS,car,2,2,10 PM - 6 AM,10 PM - 6 AM,0.0
one side,BEAUVAIS,BEAUVAIS,car,2,2,10 PM - 6 AM,6 AM - 10 PM,0.0
one side,BEAUVAIS,BEAUVAIS,car,2,2,6 AM - 10 PM,10 PM - 6 AM,0.0
one side,BEAUVAIS,BEAUVAIS,car,2,2,6 AM - 10 PM,6 AM - 10 PM,0.0
one side,BEAUVAIS,BEAUVAIS,car,3,0,10 PM - 6 AM,10 PM - 6 AM,0.0
one side,BEAUVAIS,BEAUVAIS,car,3,0,10 PM - 6 AM,6 AM - 10 PM,0.0
one side,BEAUVAIS,BEAUVAIS,car,3,0,6 AM - 10 PM,10 PM - 6 AM,0.0
one side,BEAUVAIS,BEAUVAIS,car,3,0,6 AM - 10 PM,6 AM - 10 PM,0.0
one side,BEAUVAIS,BEAUVAIS,car,3,1,10 PM - 6 AM,10 PM - 6 AM,0.0
